type,question_number,question,option_A,option_B,option_C,option_D,correct_answer,answer_text
multiple_choice,21,"Inthe simple deposit expansionmodel,ifthe requiredreserve ratiois 10percent andthe Fed increases reserves by$100,checkable deposits canpotentiallyexpandby",$100.,$250.,$500.,"$1,000.",D,
multiple_choice,23,"Inthe simple deposit expansionmodel,anexpansionincheckable deposits of$1,000when the requiredreserve ratiois equal to10percent implies that the Fed","sold$1,000ingovernment bonds.",sold$100ingovernment bonds.,"purchased$1,000ingovernment bonds.",purchased$100ingovernment bonds.,D,
multiple_choice,24,"Inthe simple deposit expansionmodel,a decline incheckable deposits of$1,000whenthe requiredreserve ratiois equal to20percent implies that the Fed",sold$200ingovernment bonds.,sold$500ingovernment bonds.,purchased$200ingovernment bonds.,purchased$500ingovernment bonds.,A,
multiple_choice,25,"Inthe simple deposit expansionmodel,a decline incheckable deposits of$1,000whenthe requiredreserve ratiois equal to10percent implies that the Fed","sold$1,000ingovernment bonds.",sold$100ingovernment bonds.,"purchased$1,000ingovernment bonds.",purchased$100ingovernment bonds.,B,
multiple_choice,27,"Inthe simple deposit expansionmodel,a decline incheckable deposits of$500whenthe requiredreserve ratiois equal to20percent implies that the Fed",sold$250ingovernment bonds.,sold$100ingovernment bonds.,sold$50ingovernment bonds.,purchased$100ingovernment bonds.,B,
multiple_choice,28,"Ifreserves inthe bankingsystem increase by$100,thencheckable deposits will increase by $400inthe simple model ofdeposit creationwhenthe requiredreserve ratiois",0.01.,0.10.,0.20.,0.25.,D,
multiple_choice,29,"Ifreserves inthe bankingsystem increase by$100,thencheckable deposits will increase by $667inthe simple model ofdeposit creationwhenthe requiredreserve ratiois",0.01.,0.05.,0.15.,0.20.,C,
multiple_choice,31,"Ifreserves inthe bankingsystem increase by$100,thencheckable deposits will increase by $2,000inthe simple model ofdeposit creationwhenthe requiredreserve ratiois",0.01.,0.05.,0.10.,0.20.,B,
multiple_choice,32,"Ifreserves inthe bankingsystem increase by$200,thencheckable deposits will increase by $500inthe simple model ofdeposit creationwhenthe requiredreserve ratiois",0.04.,0.25.,0.40.,0.50.,C,
multiple_choice,33,"Ifa bankhas excess reserves of$10,000anddemanddeposit liabilities of$80,000,andifthe reserve requirement is 20percent,thenthe bankhas actual reserves of","$16,000.","$20,000.","$26,000.","$36,000.",C,
multiple_choice,35,"Ifa bankhas excess reserves of$5,000anddemanddeposit liabilities of$80,000,andifthe reserve requirement is 20percent,thenthe bankhas actual reserves of","$11,000.","$20,000.","$21,000.","$26,000.",C,
multiple_choice,36,"Ifa bankhas excess reserves of$15,000anddemanddeposit liabilities of$80,000,andifthe reserve requirement is 20percent,thenthe bankhas total reserves of","$11,000.","$21,000.","$31,000.","$41,000.",C,
multiple_choice,37,"Ifa bankhas excess reserves of$4,000anddemanddeposit liabilities of$100,000,andifthe reserve requirement is 15percent,thenthe bankhas actual reserves of","$17,000.","$19,000.","$24,000.","$29,000.",B,
multiple_choice,39,"Ifa bankhas excess reserves of$7,000anddemanddeposit liabilities of$100,000,andifthe reserve requirement is 15percent,thenthe bankhas actual reserves of","$17,000.","$22,000.","$27,000.","$29,000.",B,
multiple_choice,40,"Ifa bankhas excess reserves of$7,000anddemanddeposit liabilities of$100,000,andifthe reserve requirement is 10percent,thenthe bankhas actual reserves of","$14,000.","$17,000.","$22,000.","$27,000.",B,
multiple_choice,41,"A bankhas excess reserves of$6,000anddemanddeposit liabilities of$100,000whenthe requiredreserve ratiois 20percent.Ifthe reserve ratiois raisedto25percent,the bank's excess reserves will be","-$5,000.","-$1,000.","$1,000.","$5,000.",C,
multiple_choice,43,"A bankhas excess reserves of$10,000anddemanddeposit liabilities of$100,000whenthe requiredreserve ratiois 20percent.Ifthe reserve ratiois raisedto25percent,the bank's excess reserves will be","-$5,000.","-$1,000.","$1,000.","$5,000.",D,
multiple_choice,44,"A bankhas noexcess reserves anddemanddeposit liabilities of$100,000whenthe required reserve ratiois 20percent.Ifthe reserve ratiois raisedto25percent,the bank's excess reserves will now be","-$5,000.","-$1,000.","$1,000.","$5,000.",A,
multiple_choice,45,"A bankhas excess reserves of$1,000anddemanddeposit liabilities of$80,000whenthe reserve requirement is 20percent.Ifthe reserve requirement is loweredto10percent,the bank's excess reserves will be","$1,000.","$8,000.","$9,000.","$17,000.",C,
multiple_choice,47,"Decisions bydepositors toincrease theirholdings of________,orofbanks tohold ________will result ina smallerexpansionofdeposits thanthe simple model predicts.",deposits; requiredreserves,deposits; excess reserves,currency; requiredreserves,currency; excess reserves,D,
multiple_choice,48,"Decisions bydepositors toincrease theirholdings of________,orofbanks toholdexcess reserves will result ina ________expansionofdeposits thanthe simple model predicts.",deposits; smaller,deposits; larger,currency; smaller,currency; larger,C,
multiple_choice,49,Decisions by________about theirholdings ofcurrencyandby________about their holdings ofexcess reserves affect the moneysupply.,borrowers; depositors,banks; depositors,depositors; borrowers,depositors; banks,D,
essay,51,Explaintworeasons whythe Feddoes not have complete control overthe level ofbank deposits andloans.Explainhow a change ineitherfactoraffects the deposit expansionprocess.,,,,,,The Feddoes not completelycontrol the level ofbankdeposits andloans because banks canholdexcess reserves andthe public canchange its currencyholdings.A change in eitherfactorchanges the deposit expansionprocess.Anincrease ineitherexcess reserves or currencyreduces the amount bywhichdeposits andloans are increased. QuestionStatus: Previous Edition AACSB: Analytical Thinking
essay,52,Explainwhythe simple deposit multiplieroverstates the true deposit multiplier.,,,,,,"The simple model ignores the role banks andtheircustomers playinthe creation process.The bank's customers candecide toholdcurrencyandthe bankcandecide tohold excess reserves.Bothofthese will restrict the bankingsystem's abilitytocreate deposits.Thus, the true multiplieris less thanthe predictionofthe simple deposit multiplier. QuestionStatus: Previous Edition AACSB: Analytical Thinking 27 Copyright © 2022PearsonEducation,Ltd.15.5 Factors That Determine the MoneySupply"
multiple_choice,1,"Anincrease inthe nonborrowedmonetarybase,everythingelse heldconstant,will cause",the moneysupplytofall.,the moneysupplytorise.,nochange inthe moneysupply.,demanddeposits tofall.,B,
multiple_choice,2,"The moneysupplyis ________relatedtothe nonborrowedmonetarybase,and________ relatedtothe level ofborrowedreserves.",positively; negatively,negatively; not,positively; positively,negatively; negatively,C,
multiple_choice,3,"The amount ofborrowedreserves is ________relatedtothe discount rate,andis ________ relatedtothe market interest rate.",negatively; negatively,negatively; positively,positively; negatively,positively; positively,B,
multiple_choice,4,A ________inmarket interest rates relative tothe discount rate will cause discount borrowing to________.,fall; increase,rise; decrease,rise; increase,fall; remainunchanged,C,
multiple_choice,6,"Everythingelse heldconstant,a decrease inholdings ofexcess reserves will mean",a decrease inthe moneysupply.,anincrease inthe moneysupply.,a decrease incheckable deposits.,anincrease indiscount loans.,B,
multiple_choice,1,"Inthe model ofthe moneysupplyprocess,the Federal Reserve's role ininfluencingthe money supplyis representedby",boththe requiredreserve ratioandthe market interest rate.,"the requiredreserve ratio,nonborrowedreserves,andborrowedreserves.",onlyborrowedreserves.,onlynonborrowedreserves.,B,
multiple_choice,2,"Inthe model ofthe moneysupplyprocess,the depositor's role ininfluencingthe money supplyis representedby",the currencyholdings.,the currencyholdings andexcess reserve.,the currencyholdings andborrowedreserve.,the market interest rate.,A,
multiple_choice,1,"Models describingthe determinationofthe moneysupplyandthe Fed's role inthis process normallyfocus on________ratherthan________,since Fedactions have a more predictable effect onthe former.",reserves; the monetarybase,reserves; high-poweredmoney,the monetarybase; high-poweredmoney,the monetarybase; reserves,D,
multiple_choice,2,The Fedcanexert more precise control over________thanit canover________.,high-poweredmoney; reserves,high-poweredmoney; the monetarybase,the monetarybase; high-poweredmoney,reserves; high-poweredmoney,A,
multiple_choice,3,The ratiothat relates the change inthe moneysupplytoa givenchange inthe monetarybase is calledthe,moneymultiplier.,requiredreserve ratio.,deposit ratio.,discount rate.,A,
multiple_choice,5,The total amount ofreserves inthe bankingsystem is equal tothe ________requiredreserves andexcess reserves.,sum of,difference between,product of,ratiobetween,A,
multiple_choice,6,The total amount ofrequiredreserves inthe bankingsystem is equal tothe ________the requiredreserve ratioandcheckable deposits.,sum of,difference between,product of,ratiobetween,C,
multiple_choice,7,"Since the Federal Reserve sets the requiredreserve ratiotoless thanone,one dollarof reserves cansupport ________ofcheckable deposits.",exactlyone dollar,less thanone dollar,more thanone dollar,exactlytwice the amount,C,
multiple_choice,9,"Anincrease inthe monetarybase that goes intocurrencyis ________,while anincrease that goes intodeposits is ________.",multiplied; multiplied,not multiplied; multiplied,multiplied; not multiplied,not multiplied; not multiplied,B,
multiple_choice,10,"Ifthe Fedinjects reserves intothe bankingsystem andtheyare heldas excess reserves,then the moneysupply",increases byonlythe initial increase inreserves.,increases byonlyone-halfthe initial increase inreserves.,increases bya multiple ofthe initial increase inreserves.,does not change.,D,
multiple_choice,11,"Ifthe Fedinjects reserves intothe bankingsystem andtheyare heldas excess reserves,then the monetarybase ________andthe moneysupply________.",remains unchanged; remains unchanged,remains unchanged; increases,increases; increases,increases; remains unchanged,D,
multiple_choice,13,"Ifthe requiredreserve ratiois 10percent,currencyincirculationis $400billion,checkable deposits are $800billion,andexcess reserves total $0.8billion,thenthe M1moneymultiplieris",2.5.,1.67.,2.0.,0.601.,A,
multiple_choice,14,"Ifthe requiredreserve ratiois 10percent,currencyincirculationis $1,200billion,checkable deposits are $1,600billion,andexcess reserves total $2,500billion,thenthe M1money multiplieris",2.5.,1.7.,7.3.,0.73.,D,
multiple_choice,15,"Ifthe requiredreserve ratiois 10percent,currencyincirculationis $400billion,checkable deposits are $800billion,andexcess reserves total $0.8billion,thenthe currency-deposit ratiois",0.25.,0.50.,0.40.,0.05.,B,
multiple_choice,17,"Ifthe requiredreserve ratiois 10percent,currencyincirculationis $1,200billion,checkable deposits are $1,600billion,andexcess reserves total $2,500billion,thenthe excess reserves- checkable deposit ratiois",1.56.,0.48.,0.72.,0.56.,A,
multiple_choice,18,"Ifthe requiredreserve ratiois 10percent,currencyincirculationis $400billion,checkable deposits are $800billion,andexcess reserves total $0.8billion,thenthe monetarybase is",$480billion.,$480.8billion.,$80billion.,$80.8billion.,B,
multiple_choice,19,"Ifthe requiredreserve ratiois 15percent,currencyincirculationis $400billion,checkable deposits are $800billion,andexcess reserves total $0.8billion,thenthe M1moneymultiplieris",2.5.,1.67.,2.3.,0.651.,C,
multiple_choice,21,"Ifthe requiredreserve ratiois 10percent,currencyincirculationis $400billion,checkable deposits are $1,000billion,andexcess reserves total $1billion,thenthe moneysupplyis ________billion.","$10,000","$4,000","$1,400","$10,400",C,
multiple_choice,22,"Ifthe requiredreserve ratiois 10percent,currencyincirculationis $400billion,checkable deposits are $1,000billion,andexcess reserves total $1billion,thenthe M1moneymultiplieris",2.5.,2.8.,2.0.,0.7.,B,
multiple_choice,23,"Ifthe requiredreserve ratiois 10percent,currencyincirculationis $400billion,checkable deposits are $1,000billion,andexcess reserves total $1billion,thenthe currency-deposit ratiois",0.25.,0.50.,0.40.,0.05.,C,
multiple_choice,25,"Ifthe requiredreserve ratiois 10percent,currencyincirculationis $400billion,checkable deposits are $1,000billion,andexcess reserves total $1billion,thenthe monetarybase is",$400billion.,$401billion.,$500billion.,$501billion.,D,
multiple_choice,26,"Ifthe requiredreserve ratiois 15percent,currencyincirculationis $400billion,checkable deposits are $1,000billion,andexcess reserves total $1billion,thenthe M1moneymultiplieris",2.54.,2.67.,2.35.,0.551.,A,
multiple_choice,27,"Ifthe requiredreserve ratiois one-third,currencyincirculationis $300billion,and checkable deposits are $900billion,thenthe moneysupplyis ________billion.","$2,700","$3,000","$1,200","$1,800",C,
multiple_choice,29,"Ifthe requiredreserve ratiois one-third,currencyincirculationis $300billion,and checkable deposits are $900billion,thenthe currency-deposit ratiois",0.25.,0.33.,0.67.,0.375.,B,
multiple_choice,30,"Ifthe requiredreserve ratiois one-third,currencyincirculationis $300billion,checkable deposits are $900billion,andthere is noexcess reserve,thenthe monetarybase is",$300billion.,$600billion.,$333billion.,$667billion.,B,
multiple_choice,31,"Everythingelse heldconstant,anincrease inthe requiredreserve ratiooncheckable deposits will cause",the moneysupplytorise.,the moneysupplytoremainconstant.,the moneysupplytofall.,checkable deposits torise.,C,
multiple_choice,33,"Everythingelse heldconstant,anincrease inthe requiredreserve ratiooncheckable deposits causes the M1moneymultiplierto________andthe moneysupplyto________.",decrease; increase,increase; increase,decrease; decrease,increase; decrease,C,
multiple_choice,34,"Everythingelse heldconstant,a decrease inthe requiredreserve ratiooncheckable deposits causes the M1moneymultiplierto________andthe moneysupplyto________.",decrease; increase,increase; increase,decrease; decrease,increase; decrease,B,
multiple_choice,35,"Assuminginitiallythat the requiredreserve ratio= 10%,the currency-deposit ratio= 40%, andthe excess reserve ratio= 0,anincrease inthe requiredreserve ratioto15%causes the M1 moneymultiplierto________,everythingelse heldconstant.",increase from 2.55to2.8,decrease from 2.8to2.55,increase from 1.82to2,decrease from 2to1.82,B,
multiple_choice,37,"Everythingelse heldconstant,ifthe sum ofthe requiredreserve ratioandthe excess reserve ratiois less thanone,anincrease inthe currency-checkable deposit ratiowill mean",anincrease incurrencyincirculationandanincrease inthe moneysupply.,anincrease inmoneysupplybut nochange inreserves.,a decrease inthe moneysupply.,anincrease incurrencyincirculationbut nochange inthe moneysupply.,C,
multiple_choice,38,"Everythingelse heldconstant,ifthe sum ofthe requiredreserve ratioandthe excess reserve ratiois less thanone,a decrease inthe currency-checkable deposit ratiowill mean",anincrease incurrencyincirculationandanincrease inthe moneysupply.,anincrease inmoneysupply.,a decrease inthe moneysupply.,anincrease incurrencyincirculationbut nochange inthe moneysupply.,B,
multiple_choice,39,"Everythingelse heldconstant,ifthe sum ofthe requiredreserve ratioandthe excess reserve ratiois less thanone,anincrease inthe currency-deposit ratiocauses the M1moneymultiplierto ________andthe moneysupplyto________.",decrease; increase,increase; decrease,decrease; decrease,increase; increase,C,
multiple_choice,41,"Everythingelse heldconstant,ifthe sum ofthe requiredreserve ratioandthe excess reserve ratiois greaterthanone,anincrease inthe currency-deposit ratiocauses the M1money multiplierto________andthe moneysupplyto________.",decrease; increase,increase; increase,decrease; decrease,increase; decrease,B,
multiple_choice,42,"Assuminginitiallythat the requiredreserve ratio= 10%,the currency-deposit ratio= 40%, andthe excess reserve ratio= 0,anincrease inthe currency-deposit ratioto50%causes the M1 moneymultiplierto________,everythingelse heldconstant.",increase from 2.5to2.8,decrease from 2.8to2.5,increase from 2.33to2.8,decrease from 2.8to2.33,B,
multiple_choice,43,"Assuminginitiallythat the requiredreserve ratio= 10%,the currency-deposit ratio= 40%, andthe excess reserve ratio= 0,andecrease inthe currency-deposit ratioto30%causes the M1 moneymultiplierto________,everythingelse heldconstant.",increase from 2.8to3.25,decrease from 3.25to2.8,increase from 2.8to3.5,decrease from 3.5to2.8,A,
multiple_choice,45,"Everythingelse heldconstant,anincrease inthe excess reserves ratiocauses the M1money multiplierto________andthe moneysupplyto________.",decrease; increase,increase; increase,decrease; decrease,increase; decrease,C,
multiple_choice,46,"Assuminginitiallythat the requiredreserve ratio= 15%,the currency-deposit ratio= 40%, andthe excess reserve ratio= 5%,a decrease inthe excess reserve ratioto0%causes the M1 moneymultiplierto________,everythingelse heldconstant.",increase from 2.33to2.55,decrease from 2.55to2.33,increase from 1.67to1.82,decrease from 1.82to1.67,A,
multiple_choice,47,"Assuminginitiallythat the requiredreserve ratio= 15%,the currency-deposit ratio= 40%, andthe excess reserve ratio= 5%,anincrease inthe excess reserve ratioto10%causes the M1 moneymultiplierto________,everythingelse heldconstant.",increase from 2.15to2.33,decrease from 2.33to2.15,increase from 1.54to1.67,decrease from 1.67to1.54,B,
multiple_choice,49,"Assuminginitiallythat the requiredreserve ratio= 10%,the currency-deposit ratio= 75%, andthe excess reserve ratio= 156%,anincrease inthe requiredreserve ratioto15%causes the M1moneymultiplierto________,everythingelse heldconstant.",increase from 0.15to0.33,increase from 0.54to0.67,decrease from 0.73to0.71,decrease from 1.67to1.54,C,
multiple_choice,50,"Assuminginitiallythat the requiredreserve ratio= 10%,the currency-deposit ratio= 75%, andthe excess reserve ratio= 156%,anincrease inthe currency-deposit ratioto150%causes the M1moneymultiplierto________,everythingelse heldconstant.",increase from 0.73to0.78,decrease from 0.73to0.61,increase from 1.54to1.67,decrease from 1.67to1.54,A,
multiple_choice,51,"The excess reserves ratiois ________relatedtoexpecteddeposit outflows,andis ________ relatedtothe market interest rate.",negatively; negatively,negatively; positively,positively; negatively,positively; positively,C,
multiple_choice,53,The moneymultiplieris,negativelyrelatedtohigh-poweredmoney.,positivelyrelatedtothe excess reserves ratio.,negativelyrelatedtothe requiredreserve ratio.,positivelyrelatedtoholdings ofexcess reserves.,C,
multiple_choice,54,"From the start ofthe global financial crisis in2007todate,the currencyratio",increasedsharply.,decreasedsharply.,increasedslightly.,decreasedslightly.,D,
multiple_choice,55,"From September2008toDecember2014,the excess reserve ratio",increasedsharply.,decreasedsharply.,increasedslightly.,decreasedslightly.,A,
multiple_choice,56,"Inpercentage terms the moneysupplyrose bysubstantiallyless thanthe monetarybase duringthe twoquantitative easingepisodes,the global financial crisis andthe coronavirus pandemic. The explanationis that",the moneymultiplierfell.,the moneymultiplierrose.,the currencyratiofell.,the currencyratiorose.,A,
multiple_choice,58,"Duringthe twoquantitative easingepisodes,the global financial crisis andthe coronavirus pandemic,the the moneymultiplierfell because",the excess reserve ratioincreasedsharply.,the excess reserve ratiofell sharply.,the currencyratiofell slightly.,the currencyratiorose sharply.,A,
multiple_choice,59,"Duringthe twoquantitative easingepisodes,the global financial crisis andthe coronavirus pandemic,the excess reserve ratioincreasedsharplybecause",the Fedcreatedfarmore reserves thanwere neededforbanks tomeet theirreserve requirements andexcess reserves hadanopportunitycost close tozero.,the consumers helda lot more cash.,the Feddidnot create enoughreserves forbanks tomeet theirreserve requirements.,the banks earnedfarmore interests byholdingreserves.,A,
essay,60,"Explainthe complete formula forthe M1moneysupply,andexplainhow changes in requiredreserves,excess reserves,the currencyratio,the nonborrowedbase,andborrowed reserves affect the moneysupply.",,,,,,"The formula is M = × (MBn+ BR).The formula indicates that the money supplyis the product ofthe multipliertimes the base.Increases inanyofthe multiplier components,requiredreserves,r; excess reserves,e; orthe currencyratio,c; reduce the multiplierandthe moneysupply.Increases inthe nonborrowedbase andborrowedreserves both increase the base andthe moneysupply. QuestionStatus: Previous Edition AACSB: Reflective Thinking 44 Copyright © 2022PearsonEducation,Ltd.15.8 WebAppendix1: The Fed's Balance Sheet andthe MonetaryBase"
multiple_choice,1,Whichis the most important categoryofFedassets?,securities,discount loans,goldandSDR certificates,cashitems inthe process ofcollection,A,
multiple_choice,2,The twomost important categories ofassets onthe Fed's balance sheet are ________and ________because theyearninterest.,discount loans; coins,securities; discount loans,gold; coins,cashitems inthe process ofcollection; SDR certificate accounts,B,
multiple_choice,3,"The Fed's holdings ofsecurities consist primarilyof________,but alsointhe past have included________.",Treasurysecurities; bankers' acceptances,municipal securities; bankers' acceptances,bankers' acceptances; Treasurysecurities,Treasurysecurities; municipal securities,A,
multiple_choice,4,"The volume ofloans that the Fedmakes tobanks is affectedbythe Fed's settingofthe interest rate onthese loans,calledthe",federal funds rate.,prime rate.,discount rate.,interbankrate.,C,
multiple_choice,6,"Whenthe Treasuryacquires goldorSDRs,it issues certificates tothe ________,whichare a claim onthe goldorSDRs,andinturnis creditedwithdeposit balances at the ________.",Federal Reserve System; Fed,Federal Reserve System; IMF,International MonetaryFund; Fed,International MonetaryFund; IMF,A,
multiple_choice,7,Whichofthe followingare NOT assets onthe Fed's balance sheet?,discount loans,U.S.Treasurydeposits,cashitems inthe process ofcollection,U.S.Treasurybills,B,
multiple_choice,8,Whichofthe followingare NOT assets onthe Fed's balance sheet?,securities,discount loans,cashitems inthe process ofcollection,deferredavailabilitycashitems,D,
multiple_choice,9,Whichofthe followingare NOT liabilities onthe Fed's balance sheet?,discount loans,bankdeposits,deferredavailabilitycashitems,U.S.Treasurydeposits,A,
multiple_choice,11,"A Fedpurchase ofgold,SDRs,a deposit denominatedina foreigncurrencyoranyother asset is just anopenmarket ________ofthese assets,________the monetarybase.",purchase; raising,sale; raising,purchase; lowering,sale; lowering,A,
multiple_choice,12,Anincrease inTreasurydeposits at the Fedcauses,the monetarybase toincrease.,the monetarybase todecrease.,Fedassets toincrease but has noeffect onthe monetarybase.,Fedassets todecrease but has noeffect onthe monetarybase.,B,
multiple_choice,13,Anincrease inU.S.Treasurydeposits at the Fedreduces both________andthe ________.,reserves; monetarybase,Fedliabilities; moneymultiplier,Fedassets; monetarybase,Fedassets; moneymultiplier,A,
multiple_choice,14,U.S.Treasurydeposits at the Fedare ________forthe Fedbut ________forthe Treasury. Thus anincrease inU.S.Treasurydeposits ________the monetarybase.,a liability; anasset; increases,a liability; anasset; decreases,anasset; a liability; increases,anasset; a liability; decreases,B,
multiple_choice,16,"Suppose,while cleaningout its closets,a workerat the Federal Reserve bankbranchin Memphis discovers a paintingofElvis (medium: acrylic onvelvet)that usedtograce the walls of the conference room.Suppose furtherthat,at a public auction,the banksells the paintingfor $19.95.This sale will cause ________inthe monetarybase,everythingelse heldconstant.",anincrease of$19.95,anincrease ofmore than$19.95,a decrease of$19.95,a decrease ofmore than$19.95,C,
multiple_choice,17,"Suppose the BankofChina permanentlydecreases its purchases ofU.S.government bonds and,instead,holds more dollars ondeposit at the Federal Reserve.Everythingelse heldconstant, a openmarket ________wouldbe the appropriate monetarypolicyactionforthe Fedtotake to offset the expected________inthe monetarybase inthe UnitedStates.",purchase; decrease,purchase; increase,sale; decrease,sale; increase,A,
multiple_choice,1,The equationthat represents M2inthe model ofthe moneysupplyprocess is,M2= C + D.,M2= C + D + T -MMF.,M2= C + D -T + MMF.,M2= C + D + T + MMF.,D,
multiple_choice,2,"Inthe model ofthe moneysupplyprocess forM2,the relationshipbetweencheckable deposits andthe M2moneysupplyis representedby",D = × M2.,D = (1+ c + t + mm)× M2.,M2= × D.,M2= .,A,
multiple_choice,3,The M2moneysupplyis representedby,M2= × MB.,M2= ×.,MB = × M2.,MB = ×.,A,
multiple_choice,4,The M2moneymultiplieris,negativelyrelatedtohigh-poweredmoney.,positivelyrelatedtothe time deposit ratio.,positivelyrelatedtothe requiredreserve ratio.,positivelyrelatedtothe excess reserves ratio.,B,
multiple_choice,6,"Everythingelse heldconstant,a decrease inthe currencyratiowill mean________inthe M1 moneymultiplierand________inthe M2moneymultiplier.",anincrease; anincrease,anincrease; a decrease,a decrease; anincrease,a decrease; a decrease,A,
multiple_choice,7,"Everythingelse heldconstant,anincrease inthe requiredreserve ratiowill mean________in the M2moneymultiplierand________inthe M2moneysupply.",anincrease; anincrease,anincrease; a decrease,a decrease; anincrease,a decrease; a decrease,D,
multiple_choice,8,"Everythingelse heldconstant,anincrease inthe requiredreserve ratiowill result in________ inM1and________inM2.",anincrease; anincrease,anincrease; a decrease,a decrease; anincrease,a decrease; a decrease,D,
multiple_choice,10,"Everythingelse heldconstant,anincrease inthe time deposit ratiowill result in________in the M1moneymultiplierand________inthe M2moneymultiplier.",anincrease; anincrease,nochange; anincrease,a decrease; a decrease,nochange; a decrease,B,
multiple_choice,11,"Everythingelse heldconstant,anincrease inthe moneymarket fundratiowill mean ________inthe M2moneymultiplierand________inthe M2moneysupply.",anincrease; anincrease,anincrease; a decrease,a decrease; anincrease,a decrease; a decrease,A,
multiple_choice,12,"Everythingelse heldconstant,anincrease inthe moneymarket fundratiowill result in ________inthe M1moneymultiplierand________inthe M2moneymultiplier.",anincrease; anincrease,nochange; anincrease,a decrease; a decrease,nochange; a decrease,B,
multiple_choice,14,"Everythingelse heldconstant,anincrease inthe excess reserve ratiowill mean________in the M1moneymultiplierand________inthe M2moneymultiplier.",anincrease; anincrease,nochange; anincrease,a decrease; a decrease,nochange; a decrease,C,
multiple_choice,1,Factors causinganincrease incurrencyholdings include,anincrease inthe interest rates paidoncheckable deposits.,anincrease inthe cost ofacquiringcurrency.,a decrease inbankpanics.,anincrease inillegal activity.,D,
multiple_choice,2,Part ofthe increase incurrencyholdings inthe 1960s and1970s canbe attributedto,increases inincome taxrates.,the switchfrom progressive toproportional income taxes.,the adoptionofregressive taxes.,bracket creepdue toinflationandprogressive income taxes.,D,
multiple_choice,4,"Everythingelse heldconstant,anincrease inthe interest rate paidoncheckable deposits will cause ________inthe amount ofcheckable deposits heldrelative tocurrencyholdings and ________inthe currencyratio.",anincrease; anincrease,anincrease; a decrease,a decrease; anincrease,a decrease; a decrease,B,
multiple_choice,5,"The increase inthe availabilityofATMs has causedthe cost ofacquiringcurrencyto ________whichwill cause the currencyratioto________,everythingelse heldconstant.",increase; increase,increase; decrease,decrease; increase,decrease; decrease,C,
multiple_choice,6,The steepest increase inthe currencyratiosince 1892occurredduring,WorldWarII.,the Great Depression.,the interwaryears.,the past twentyyears.,B,
multiple_choice,8,The increase inthe currencyratioduringWorldWarIIwas due to,bankpanics.,a dropinthe rate ofinterest paidoncheckingdeposits.,the spreadofATMs.,hightaxes andillegal activities.,D,
multiple_choice,9,The upwardtrendinthe currency-deposit ratioduring1994-2007canbe explainedby,the increasedholdings ofU.S.currencybyforeigners.,bankpanics.,a dropinthe rate ofinterest paidoncheckingdeposits.,hightaxes andillegal activities.,A,
multiple_choice,10,The decliningtrendinthe currency-deposit ratioduring2007-2014canbe explainedby,the increasedholdings ofU.S.currencybyforeigners.,bankpanics.,a dropinthe rate ofinterest paidoncheckingdeposits.,the increasinguse ofdebit cards.,D,
multiple_choice,1,Duringthe bankpanics ofthe Great Depressionthe currencyratio,increasedsharply.,decreasedsharply.,increasedslightly.,decreasedslightly.,A,
multiple_choice,2,Duringthe bankpanics ofthe Great Depressionthe excess reserve ratio,increasedsharply.,decreasedsharply.,increasedslightly.,decreasedslightly.,A,
multiple_choice,3,"Inthe early1930s,the currency-deposit ratiorose,as didthe level ofexcess reserves.Money supplyanalysis predicts that,everythingelse heldconstant,the moneysupplyshouldhave",risen.,fallen.,remainunchanged.,"eitherrisen,fallen,orremainunchanged.",B,
essay,4,"The monetarybase increasedby20%duringthe contractionof1929-1933,but the money supplyfell by25%.Explainwhythis occurred.How canthe moneysupplyfall whenthe base increases?",,,,,,"The bankingcrisis causedthe public tofearforthe safetyoftheirdeposits,increasing boththe currencyratioandbankholdings ofexcess reserves inanticipationofdeposit outflows. Bothofthese changes reduce the moneymultiplierandthe moneysupply.Inthis case,the fall in the multiplierdue toincreases ofcurrencyandexcess reserves more thanoffset the increase in the base,causingthe moneysupplytofall. QuestionStatus: Previous Edition AACSB: Analytical Thinking 1 Copyright © 2022PearsonEducation,Ltd.The Economics ofMoney,BankingandFinancial Markets,13e (Mishkin),Global Edition Chapter 16 Tools ofMonetaryPolicy 16.1 The Market forReserves andthe Federal Funds Rate"
multiple_choice,1,The interest rate chargedonovernight loans ofreserves betweenbanks is the,prime rate.,discount rate.,federal funds rate.,Treasurybill rate.,C,
multiple_choice,2,The primaryindicatorofthe Fed's stance onmonetarypolicyis,the discount rate.,the federal funds rate.,the growthrate ofthe monetarybase.,the growthrate ofM2.,B,
multiple_choice,3,The quantityofreserves demandedequals,requiredreserves plus borrowedreserves.,excess reserves plus borrowedreserves.,requiredreserves plus excess reserves.,total reserves minus excess reserves.,C,
multiple_choice,4,"Everythingelse heldconstant,whenthe federal funds rate is ________the interest rate paid onexcess reserves,the quantityofreserves demandedrises whenthe federal funds rate ________.",above; rises,above; falls,below; rises,below; falls,B,
multiple_choice,6,"Inthe market forreserves,whenthe federal funds rate is above the interest rate paidonexcess reserves,the demandcurve forreserves is",vertical.,horizontal.,positivelysloped.,negativelysloped.,D,
multiple_choice,7,Whenthe federal funds rate equals the interest rate paidonexcess reserves,the supplycurve ofreserves is vertical.,the supplycurve ofreserves is horizontal.,the demandcurve forreserves is vertical.,the demandcurve forreserves is horizontal.,D,
