type,question_number,question,option_A,option_B,option_C,option_D,correct_answer
multiple_choice,18,"Giả sử rằng từ một khoản tiền gửi có thể kiểm tra mới, First National Bankhold tám triệu đô la tiền gửi vào Cục Dự trữ Liên bang, một triệu đô la dự trữ không bắt buộc, và phải đối mặt với tỷ lệ dự trữ bắt buộc. Với thông tin này, chúng tôi có thể nói Ngân hàng Quốc gia đầu tiên có ________milliondollars tiền mặt xâm nhập.",Hai,Tám,Chín,Mười,A
multiple_choice,20,"Giả sử rằng từ một khoản tiền gửi có thể kiểm tra mới, Ngân hàng Quốc gia Đầu tiên nắm giữ hai triệu đô la tiền mặt trong kho tiền, chín triệu đô la dự trữ vượt quá và phải đối mặt với tỷ lệ dự trữ bắt buộcthường là phần trăm. Với thông tin này, chúng tôi có thể nóiNgân hàng Quốc gia đầu tiên đã ________milliondollars tiền gửi với Cục Dự trữ Liên bang.",Một,Hai,Tám,Mười,C
multiple_choice,21,"Giả sử rằng từ một khoản tiền gửi có thể kiểm tra mới, Ngân hàng Quốc gia Đầu tiên nắm giữ hai triệu đô la tiền mặt kho tiền, một triệu đô la dự trữ không bắt buộc, và phải đối mặt với tỷ lệ dự trữ bắt buộcthường là phần trăm. Với thông tin này, chúng tôi có thể nói Ngân hàng Quốc gia đầu tiên đã ________milliondollars dự trữ dư thừa.",Một,Hai,Chín,Mười,C
multiple_choice,23,"Giả sử rằng từ một khoản tiền gửi có thể kiểm tra mới, First National Bankhold tám triệu đô la tiền gửi vào Cục Dự trữ Liên bang, chín triệu đô la dự trữ vượt quá và phải đối mặt với tỷ lệ dự trữ bắt buộc. Cung cấp thông tin này, chúng tôi có thể nói Ngân hàng Quốc gia đầu tiên có ________milliondollars khoản dự trữ không cần thiết.",Một,Hai,Chín,Mười,A
multiple_choice,24,"Giả sử rằng từ một khoản tiền gửi có thể kiểm tra mới, First National Bankhold tám triệu đô la tiền gửi vào Cục Dự trữ Liên bang, chín triệu đô la dự trữ vượt quá và phải đối mặt với tỷ lệ dự trữ bắt buộc. Với thông tin này, chúng tôi có thể nói Ngân hàng Quốc gia đầu tiên có ________milliondollars tiền mặt xâm nhập.",Một,Hai,Chín,Mười,B
multiple_choice,25,Lãi suất mà Fed tính cho các ngân hàng vay từ Fedis,tỷ lệ quỹ liên bang.,Lãi suất tín phiếu kho bạc.,suất chiết khấu.,lãi suất chính.,C
multiple_choice,1,Cơ sở tiền tệ trừ đi tiền tệlưu thôngbằng,Dự trữ.,cơ sở mượn.,cơ sở không mượn.,cho vay chiết khấu.,A
multiple_choice,2,Cơ sở tiền tệ trừ dự trữ bằng,tiền tệlưu thông.,cơ sở mượn.,cơ sở không mượn.,cho vay chiết khấu.,A
multiple_choice,3,Mạnh mẽtiền trừ dự trữ bằng,Dự trữ.,tiền tệlưu thông.,cơ sở tiền tệ.,cơ sở không mượn.,B
multiple_choice,4,Quyền lực caotiền tệtrừ đi tiền tệlưu thôngbằng nhau,Dự trữ.,cơ sở mượn.,cơ sở không mượn.,cho vay chiết khấu.,A
multiple_choice,6,"Khi Cục Dự trữ Liên bang mua trái phiếu chính phủ từ một đại lý chính, dự trữ trong hệ thống ngân hàng ________andthe cơ sở tiền tệ ________, mọi thứ khác được giữ nguyên.",tăng; Tăng,tăng; Giảm,giảm; Tăng,giảm; Giảm,A
multiple_choice,7,"Khi Cục Dự trữ Liên bang bán trái phiếu chính phủ cho một đại lý chính, dự trữ trong hệ thống ngân hàng ________andthe cơ sở tiền tệ ________, mọi thứ khác được giữ không đổi.",tăng; Tăng,tăng; Giảm,giảm; Tăng,giảm; Giảm,D
multiple_choice,8,"Khi một đại lý sơ bộ bán trái phiếu chính phủ cho Cục Dự trữ Liên bang, dự trữ trong hệ thống ngân hàng ________andthe tiền tệ cơ sở ________, mọi thứ khác được giữ không đổi.",tăng; Tăng,tăng; Giảm,giảm; Tăng,giảm; Giảm,A
multiple_choice,10,"Khi Fed mua trái phiếu trị giá 100 đô la từ một đại lý chính, dự trữ trong hệ thống ngân hàng",tăng thêm 100 đô la.,tăng hơn $ 100.,giảm 100 đô la.,giảm hơn $ 100.,A
multiple_choice,11,"Khi Fed bán trái phiếu trị giá 100 đô la cho một đại lý chính, dự trữ trong hệ thống ngân hàng",tăng thêm 100 đô la.,tăng hơn $ 100.,giảm 100 đô la.,giảm hơn $ 100.,C
multiple_choice,12,"Khi Fed mở rộng khoản vay chiết khấu 100 đô la cho Ngân hàng Quốc gia Đầu tiên, dự trữ trong hệ thống ngân hàng",tăng thêm 100 đô la.,tăng hơn $ 100.,giảm 100 đô la.,giảm hơn $ 100.,A
multiple_choice,14,"Khi Cục Dự trữ Liên bang mở rộng một khoản vay chiết khấu cho một ngân hàng, cơ sở tiền tệ ________ và dự trữ ________.",không thay đổi; giảm,không thay đổi; tăng,Tăng; tăng,Tăng; còn lạikhông thay đổi,C
multiple_choice,15,"Khi Cục Dự trữ Liên bang gọi khoản vay chiết khấu từ một ngân hàng, cơ sở tiền tệ ________ và dự trữ ________.",không thay đổi; giảm,không thay đổi; tăng,Giảm; giảm,Giảm; không thay đổi,C
multiple_choice,16,"Nếu Fed quyết định giảm dự trữ ngân hàng, nó có thể",mua trái phiếu chính phủ.,mở rộng các khoản vay chiết khấu cho các ngân hàng.,bán trái phiếu chính phủ.,in thêm tiền tệ.,C
multiple_choice,18,Sự sụt giảm in________leads ngang bằng ________inthe cơ sở tiền tệ trong ngắn hạn.,nổi; tăng,nổi; giảm,Tiền gửi kho bạc tại Fed; giảm,cho vay chiết khấu; tăng,B
multiple_choice,19,Cơ sở tiền tệ giảm khi,Fed mở rộng các khoản vay chiết khấu.,Tiền gửi kho bạc tại Feddecrease.,float tăng.,chứng khoán Fedsells.,D
multiple_choice,20,Tăng in________leads bằng ________inthe cơ sở tiền tệ trong ngắn hạn.,nổi; giảm,nổi; tăng,cho vay chiết khấu; giảm,Tiền gửi kho bạc tại Fed; tăng,B
multiple_choice,21,"Giả sử một người rút séc bảng lương của mình và giữ tất cả các khoản tiền dưới dạng tiền tệ. Mọi thứ khác không đổi, tổng dự trữ trong hệ thống ngân hàng ________andthe ________ cơ sở tiền tệ.",vẫn không thay đổi; Tăng,giảm; Tăng,giảm; không thay đổi,giảm; Giảm,C
multiple_choice,23,Fed không kiểm soát chặt chẽ cơ sở tiền tệ vì nó KHÔNG kiểm soát hoàn toàn,mua trên thị trường mở.,bán hàng trên thị trường mở.,dự trữ đã vay.,tỷ lệ chiết khấu.,C
multiple_choice,24,Trừ dự trữ đã vay từ cơ sở tiền tệ thu được,Dự trữ.,tiền mạnh mẽ.,cơ sở tiền tệ không vay.,cơ sở tiền tệ đi vay.,C
multiple_choice,25,"Mối quan hệ giữa dự trữ đã vay (BR), cơ sở tiền tệ không vay (MB n) và cơ sở tiền tệ (MB) là",MB = MB n-BR.,BR = MB n-MB.,BR = MB -MB n.,MB = BR -MB n.,C
multiple_choice,1,"Khi Fed cung cấp cho hệ thống ngân hàng thêm đô la dự trữ, tiền gửi tăng hơn một đô la — một quá trình được gọi là",tạo thêm tiền gửi.,tạo nhiều khoản tiền gửi.,mở rộngtạo tiền gửi.,tạo tiền gửi kích thích.,B
multiple_choice,2,"Khi Fed cung cấp cho hệ thống ngân hàng thêm đô la dự trữ, tiền gửi ________ by________thanone đô la — một quá trình được gọi là tạo nhiều khoản tiền gửi.",tăng; kém,tăng; nhiều hơn,giảm; kém,giảm; nhiều hơn,B
multiple_choice,3,"Nếu tỷ lệ dự trữ bắt buộc bằng 10 phần trăm, một ngân hàng duy nhất có thể tăng các khoản vay của mình lên đến số tiền tối đa bằng",dự trữ dư thừa của nó.,gấp 10 lần dự trữ dư thừa của nó.,10% dự trữ dư thừa của nó.,tổng dự trữ của nó.,A
multiple_choice,5,"Trong mô hình mở rộng tiền gửi đơn giản, nếu Fed mua trái phiếu trị giá 100 đô la từ một ngân hàng trước đây không có dự trữ vượt mức, tiền gửi trong hệ thống ngân hàng có khả năng tăng lên",10,100,$100 lần tỷ lệ nghịch đảo của tỷ lệ dự trữ bắt buộc.,100 lần tỷ lệ dự trữ bắt buộc.,C
multiple_choice,6,"Trong mô hình mở rộng tiền gửi đơn giản, nếu Fed mở rộng khoản vay chiết khấu 100 đô la cho một ngân hàng trước đây không có dự trữ vượt mức, ngân hàng có thể tăng các khoản vay của mình lên",10,100,$100 lần tỷ lệ nghịch đảo của tỷ lệ dự trữ bắt buộc.,100 lần tỷ lệ dự trữ bắt buộc.,B
multiple_choice,7,"Trong mô hình mở rộng tiền gửi đơn giản, nếu Fed mở rộng khoản vay chiết khấu 100 đô la cho một ngân hàng mà trước đây không có dự trữ vượt mức, tiền gửi trong hệ thống ngân hàng có khả năng tăng lên",10,100,$100 lần tỷ lệ nghịch đảo của tỷ lệ dự trữ bắt buộc.,100 lần tỷ lệ dự trữ bắt buộc.,C
multiple_choice,9,Hệ số tiền gửi đơn giản có thể được biểu thị dưới dạng tỷ lệ của,thay đổi dự trữ trong hệ thống ngân hàng chia chothay đổi tiền gửi.,thay đổi tiền gửi chia cho thay đổi dự trữ trong hệ thống ngân hàng.,bắt buộctỷ lệ dự trữ chia cho thay đổi dự trữ trong hệ thống ngân hàng.,thay đổi tiền gửi chia cho tỷ lệ dự trữ bắt buộc.,B
multiple_choice,10,"Nếu dự trữ trong hệ thống ngân hàng tăng thêm 100 đô la, thì các khoản tiền gửi có thể kiểm tra sẽ tăng thêm 1.000 đô la trong mô hình đơn giản của việc tạo tiền gửi khi tỷ lệ dự trữ yêu cầu là",0.01.,0.10.,0.05.,0.20.,B
multiple_choice,11,"Nếu dự trữ trong hệ thống ngân hàng tăng thêm 100 đô la, thì các khoản tiền gửi có thể kiểm tra sẽ tăng thêm 500 đô la trong mô hình đơn giản của việc tạo tiền gửi khi tỷ lệ dự trữ bắt buộc là",0.01.,0.10.,0.05.,0.20.,D
multiple_choice,12,"Nếu tỷ lệ dự trữ yêu cầu là 10 phần trăm, hệ số tiền gửi đơn giản",5.0.,2.5.,100.0.,10.0.,D
multiple_choice,14,"Nếu tỷ lệ dự trữ yêu cầu là 20 phần trăm, hệ số tiền gửi đơn giản",5.0.,2.5.,4.0.,10.0.,A
multiple_choice,15,"Nếu tỷ lệ dự trữ yêu cầu là 25 phần trăm, hệ số tiền gửi đơn giản",5.0.,2.5.,4.0.,10.0.,C
multiple_choice,16,Hệ số tiền gửi đơn giảnbằng một ngụ ý tỷ lệ dự trữ bắt buộcbằng,100 phần trăm.,50 phần trăm.,25 phần trăm.,0 phần trăm.,A
multiple_choice,17,Một hệ số tiền gửi đơn giảnbằng với hai ngụ ý một tỷ lệ dự trữ bắt buộcbằng,100 phần trăm.,50 phần trăm.,25 phần trăm.,0 phần trăm.,B
multiple_choice,19,"Trong mô hình mở rộng tiền gửi đơn giản, nếu hệ thống ngân hàng có dự trữ dư thừa là 75 đô la và tỷ lệ dự trữ yêu cầu là 20%, khả năng mở rộng tiền gửi có thể kiểm tra là",75,750,$ 37.50.,375,D
multiple_choice,20,"Trong mô hình mở rộng tiền gửi đơn giản, nếu tỷ lệ dự trữ yêu cầu là 20% và Fed tăng dự trữ thêm 100 đô la, tiền gửi có thể kiểm tra có khả năng mở rộng bởi",100,250,500,1000,C
multiple_choice,21,"Trong mô hình mở rộng tiền gửi đơn giản, nếu tỷ lệ dự trữ bắt buộc là 10% và Fed tăng dự trữ thêm 100 đô la, tiền gửi có thể kiểm tra có thể mở rộng bởi",100,250,500,1000,D
multiple_choice,23,"Trong mô hình mở rộng tiền gửi đơn giản, mở rộng tiền gửi có thể kiểm tra là 1.000 đô la khi tỷ lệ dự trữ bắt buộc bằng 10% ngụ ý rằng Fed",đã bán 1.000 đô la trái phiếu chính phủ.,đã bán 100 đô la trái phiếu chính phủ.,đã mua 1.000 đô la trái phiếu chính phủ.,đã mua 100 đô la trái phiếu chính phủ.,D
multiple_choice,24,"Trong mô hình mở rộng tiền gửi đơn giản, một sự sụt giảm tiền gửi không thể kiểm tra là 1.000 đô la khi tỷ lệ dự trữ bắt buộc bằng 20 phần trăm ngụ ý rằng Fed",đã bán 200 đô la trái phiếu chính phủ.,đã bán 500 đô la trái phiếu chính phủ.,đã mua 200 đô la trái phiếu chính phủ.,đã mua 500 đô la trái phiếu chính phủ.,A
multiple_choice,25,"Trong mô hình mở rộng tiền gửi đơn giản, sự sụt giảm tiền gửi không thể kiểm soát là 1.000 đô la khi tỷ lệ dự trữ bắt buộc bằng 10% ngụ ý rằng Fed",đã bán 1.000 đô la trái phiếu chính phủ.,đã bán 100 đô la trái phiếu chính phủ.,đã mua 1.000 đô la trái phiếu chính phủ.,đã mua 100 đô la trái phiếu chính phủ.,B
multiple_choice,27,"Trong mô hình mở rộng tiền gửi đơn giản, sự sụt giảm tiền gửi không thể kiểm tra là 500 đô la khi tỷ lệ dự trữ bắt buộc bằng 20% ngụ ý rằng Fed",đã bán 250 đô la trái phiếu chính phủ.,đã bán 100 đô la trái phiếu chính phủ.,đã bán 50 đô la trái phiếu chính phủ.,đã mua 100 đô la trái phiếu chính phủ.,B
multiple_choice,28,"Nếu dự trữ trong hệ thống ngân hàng tăng thêm 100 đô la, thì tiền gửi có thể kiểm tra sẽ tăng thêm 400 đô la trong mô hình đơn giản của việc tạo tiền gửi khi tỷ lệ dự trữ yêu cầu là",0.01.,0.10.,0.20.,0.25.,D
multiple_choice,29,"Nếu dự trữ trong hệ thống ngân hàng tăng thêm 100 đô la, thì các khoản tiền gửi có thể kiểm tra sẽ tăng thêm 667 đô la trong mô hình đơn giản của việc tạo tiền gửi khi tỷ lệ dự trữ yêu cầu là",0.01.,0.05.,0.15.,0.20.,C
multiple_choice,31,"Nếu dự trữ trong hệ thống ngân hàng tăng thêm 100 đô la, thì các khoản tiền gửi có thể kiểm tra sẽ tăng thêm 2.000 đô la trong mô hình đơn giản của việc tạo tiền gửi khi tỷ lệ dự trữ yêu cầu là",0.01.,0.05.,0.10.,0.20.,B
multiple_choice,32,"Nếu dự trữ trong hệ thống ngân hàng tăng thêm 200 đô la, thì các khoản tiền gửi có thể kiểm tra sẽ tăng thêm 500 đô la trong mô hình đơn giản của việc tạo tiền gửi khi tỷ lệ dự trữ yêu cầu là",0.04.,0.25.,0.40.,0.50.,C
multiple_choice,33,"Nếu ngân hàng có dự trữ vượt mức 10.000 đô la và nợ tiền gửi không kỳ hạn là 80.000 đô la và nếu yêu cầu dự trữ là 20 phần trăm, thì ngân hàng có dự trữ thực tế là",16000,20000,26000,36000,C
multiple_choice,35,"Nếu ngân hàng có dự trữ vượt mức 5.000 đô la và nợ tiền gửi không kỳ hạn là 80.000 đô la và nếu yêu cầu dự trữ là 20%, thì ngân hàng có dự trữ thực tế là",11000,20000,21000,26000,C
multiple_choice,36,"Nếu ngân hàng có dự trữ vượt mức 15.000 đô la và nợ tiền gửi không kỳ hạn là 80.000 đô la, và nếu yêu cầu dự trữ là 20%, thì ngân hàng có tổng dự trữ là",11000,21000,31000,41000,C
multiple_choice,37,"Nếu ngân hàng có dự trữ vượt mức 4.000 đô la và nợ tiền gửi không kỳ hạn là 100.000 đô la và nếu yêu cầu dự trữ là 15%, thì ngân hàng có dự trữ thực tế là",17000,19000,24000,29000,B
multiple_choice,39,"Nếu ngân hàng có dự trữ vượt mức là 7.000 đô la và nợ tiền gửi không kỳ hạn là 100.000 đô la, và nếu yêu cầu dự trữ là 15 phần trăm, thì ngân hàng có dự trữ thực tế là",17000,22000,27000,29000,B
multiple_choice,40,"Nếu ngân hàng có dự trữ vượt mức là 7.000 đô la và nợ tiền gửi không kỳ hạn là 100.000 đô la, và nếu yêu cầu dự trữ là 10 phần trăm, thì ngân hàng có dự trữ thực tế là",14000,17000,22000,27000,B
multiple_choice,41,"Một ngân hàng có dự trữ vượt mức là 6.000 đô la và nợ phải trả tiền gửi không kỳ hạn là 100.000 đô la khi tỷ lệ dự trữ bắt buộc là 20 phần trăm. Nếu tỷ lệ dự trữ được nâng lên 25%, dự trữ thặng dư của ngân hàng sẽ được",-5000,-1000,1000,5000,C
multiple_choice,43,"Một ngân hàng có dự trữ vượt mức là 10.000 đô la và nợ phải trả tiền gửi không kỳ hạn là 100.000 đô la khi tỷ lệ dự trữ bắt buộc là 20 phần trăm. Nếu tỷ lệ dự trữ được nâng lên 25%, dự trữ thặng dư của ngân hàng sẽ được",-5000,-1000,1000,5000,D
multiple_choice,44,"Một ngân hàng không có dự trữ vượt mức và nợ tiền gửi không kỳ hạn là 100.000 đô la khi tỷ lệ dự trữ yêu cầu là 20 phần trăm. Nếu tỷ lệ dự trữ được nâng lên 25%, dự trữ dư thừa của ngân hàng bây giờ sẽ là",-5000,-1000,1000,5000,A
multiple_choice,45,"Một ngân hàng có dự trữ vượt mức 1.000 đô la và nợ tiền gửi không kỳ hạn là 80.000 đô la khi yêu cầu dự trữ là 20 phần trăm. Nếu yêu cầu dự trữ được hạ xuống 10%, dự trữ dư thừa của ngân hàng sẽ được",1000,8000,9000,17000,C
multiple_choice,47,"Quyết định của người gửi tiền để tăng số lượng nắm giữ của họ of________, hoặc các ngân hàng giữ ________will kết quả là việc mở rộng tiền gửi nhỏ hơn so với mô hình đơn giản dự đoán.",tiền gửi; Trữ lượng bắt buộc,tiền gửi; Dự trữ dư thừa,tiền tệ; Trữ lượng bắt buộc,tiền tệ; Dự trữ dư thừa,D
multiple_choice,48,"Quyết định của người gửi tiền để tăng số lượng nắm giữ của họ of________, hoặc ngân hàng để giữ dự trữ dư thừa sẽ dẫn đến kết quả ________expansionofdeposits hơn so với mô hình đơn giản dự đoán.",tiền gửi; em,tiền gửi; Lớn,tiền tệ; em,tiền tệ; Lớn,C
multiple_choice,49,Các quyết định by________about việc nắm giữ của họ ofcurrencyandby________about việc nắm giữ dự trữ dư thừa của họ ảnh hưởng đến cung tiền.,Vay; người gửi tiền,Ngân hàng; người gửi tiền,người gửi tiền; Vay,người gửi tiền; Ngân hàng,D
multiple_choice,1,"Antăng cơ sở tiền tệ không vay, mọi thứ khác được giữ không đổi, sẽ gây ra",cung tiền đến sự sụp đổ.,cung tiền tăng.,không thay đổi trong cung tiền.,tiền gửi yêu cầu sẽ sụp đổ.,B
multiple_choice,2,Cung tiền ________relatedtothe cơ sở tiền tệ không đi vay and________ liên quan đến mức dự trữ đi vay.,Tích cực; Tiêu cực,Tiêu cực; không,Tích cực; Tích cực,Tiêu cực; Tiêu cực,C
multiple_choice,3,"Số tiền dự trữ đã vay là ________relatedtothe suất chiết khấu, và ________ liên quan đến lãi suất thị trường.",Tiêu cực; Tiêu cực,Tiêu cực; Tích cực,Tích cực; Tiêu cực,Tích cực; Tích cực,B
multiple_choice,4,Lãi suất ________inmarket so với lãi suất chiết khấu sẽ gây ra to________ vay chiết khấu.,rớt; tăng,lên; giảm,lên; tăng,rớt; còn lạikhông thay đổi,C
multiple_choice,6,"Mọi thứ khác được giữ không đổi, giảm số lượng dự trữ dư thừa sẽ có nghĩa là",sự sụt giảm cung tiền.,tăng cung tiền.,một giảm tiền gửi không thể kiểm tra.,antăng các khoản vay trong chiết khấu.,B
multiple_choice,1,"Trong mô hình của quá trình cung tiền, vai trò của Cục Dự trữ Liên bang ảnh hưởng đến cung tiền được đại diện bởi",cả tỷ lệ dự trữ bắt buộc và lãi suất thị trường.,"Tỷ lệ dự trữ bắt buộc, dự trữ không đi vay, và dự trữ đi vay.",chỉ vay dự trữ.,chỉ dự trữ không mượn.,B
multiple_choice,2,"Trong mô hình của quá trình cung tiền, vai trò của người gửi tiền ảnh hưởng đến cung tiền được đại diện bởi",các khoản nắm giữ tiền tệ.,nắm giữ tiền tệ và dự trữ dư thừa.,Nắm giữ tiền tệ và dự trữ đi vay.,lãi suất thị trường.,A
multiple_choice,1,"Các mô hình mô tả việc xác định nguồn cung tiền và vai trò của Fed trong quá trình này thường tập trung on________ratherthan________, vì Liên bang có tác động dễ đoán hơn đối với trước đây.",Dự trữ; Cơ sở tiền tệ,Dự trữ; Tiền mạnh mẽ,cơ sở tiền tệ; Tiền mạnh mẽ,cơ sở tiền tệ; Dự trữ,D
multiple_choice,2,Fedcanexert kiểm soát chính xác hơn over________thanit canover________.,tiền quyền lực cao; Dự trữ,tiền quyền lực cao; Cơ sở tiền tệ,cơ sở tiền tệ; Tiền mạnh mẽ,Dự trữ; Tiền mạnh mẽ,A
multiple_choice,3,Tỷ lệ liên quan đến sự thay đổi trong cung tiền đến một thay đổi trong cơ sở tiền tệ được gọi là,nhân tiền.,tỷ lệ dự trữ bắt buộc.,tỷ lệ tiền gửi.,suất chiết khấu.,A
multiple_choice,5,Tổng số tiền dự trữ trong hệ thống ngân hàng bằng ________requiredreserves và dự trữ dư thừa.,tổng của,Sự khác biệt giữa,sản phẩm của,Tỷ lệ giữa,A
multiple_choice,6,Tổng số tiền dự trữ bắt buộc trong hệ thống ngân hàng bằng tỷ lệ dự trữ ________the yêu cầu và tiền gửi có thể kiểm tra.,tổng của,Sự khác biệt giữa,sản phẩm của,Tỷ lệ giữa,C
multiple_choice,7,"Vì Cục Dự trữ Liên bang đặt tỷ lệ dự trữ bắt buộc ít hơn một, một đô la dự trữ có thể hỗ trợ ________ofcheckable tiền gửi.",chính xác một đô la,ít hơn một đô la,hơn một đô la,chính xác gấp đôi số tiền,C
multiple_choice,9,"Antăng cơ sở tiền tệ đi vào tiền tệ là ________, trong khi antăng đi vào tiền gửi là ________.",Nhân; Nhân,không nhân lên; Nhân,Nhân; không nhân,không nhân lên; không nhân,B
multiple_choice,10,"Nếu Fedinjects dự trữ vào hệ thống ngân hàng và họ được giữ như dự trữ dư thừa, thì cung tiền",tăng bởiChỉ tăng dự trữ ban đầu.,tăng chỉ một nửa mức tăng ban đầu không dự trữ.,tăng thêm bội số của dự trữ tăng ban đầu.,không thay đổi.,D
multiple_choice,11,"Nếu Fed đưa dự trữ vào hệ thống ngân hàng và họ được giữ như dự trữ dư thừa, thì cơ sở tiền tệ ________andthe moneysupply________.",không thay đổi; không thay đổi,không thay đổi; Tăng,Tăng; Tăng,Tăng; không thay đổi,D
multiple_choice,13,"Nếu tỷ lệ dự trữ yêu cầu là 10 phần trăm, tiền tệ lưu thông là 400 tỷ đô la, tiền gửi có thể kiểm tra là 800 tỷ đô la, và tổng dự trữ dư thừa là 0,8 tỷ đô la, thì M1moneymultiplieris",2.5.,1.67.,2.0.,0.601.,A
multiple_choice,14,"Nếu tỷ lệ dự trữ yêu cầu là 10 phần trăm, lưu thông tiền tệ là 1.200 tỷ đô la, tiền gửi có thể kiểm tra là 1.600 tỷ đô la và tổng dự trữ vượt mức là 2.500 tỷ đô la, thì hệ số nhân của M1money",2.5.,1.7.,7.3.,0.73.,D
multiple_choice,15,"Nếu tỷ lệ dự trữ yêu cầu là 10 phần trăm, lưu thông tiền tệ là 400 tỷ đô la, tiền gửi có thể kiểm tra là 800 tỷ đô la và tổng dự trữ vượt mức là 0,8 tỷ đô la, thì tỷ lệ tiền tệ-tiền gửi là",0.25.,0.50.,0.40.,0.05.,B
multiple_choice,17,"Nếu tỷ lệ dự trữ yêu cầu là 10 phần trăm, tiền tệ lưu thông là 1.200 tỷ đô la, tiền gửi có thể kiểm tra là 1.600 tỷ đô la và tổng số dự trữ vượt mức là 2.500 tỷ đô la, thì tỷ lệ tiền gửi có thể kiểm tra dự trữ vượt mức là",1.56.,0.48.,0.72.,0.56.,A
multiple_choice,18,"Nếu tỷ lệ dự trữ yêu cầu là 10 phần trăm, lưu thông tiền tệ là 400 tỷ đô la, tiền gửi có thể kiểm tra là 800 tỷ đô la, và tổng dự trữ vượt mức là 0,8 tỷ đô la, thì cơ sở tiền tệ là",480 tỷ USD.,480.8 tỷ USD.,80 tỷ đô la.,80.8 tỷ USD.,B
multiple_choice,19,"Nếu tỷ lệ dự trữ yêu cầu là 15 phần trăm, tiền tệ lưu thông là 400 tỷ đô la, tiền gửi có thể kiểm tra là 800 tỷ đô la, và tổng số dự trữ vượt mức là 0,8 tỷ đô la, thì M1 tiền nhân lên",2.5.,1.67.,2.3.,0.651.,C
multiple_choice,21,"Nếu tỷ lệ dự trữ yêu cầu là 10 phần trăm, lưu thông tiền tệ là 400 tỷ đô la, tiền gửi có thể kiểm tra là 1.000 tỷ đô la và tổng dự trữ vượt mức là 1 tỷ đô la, thì cung tiền là ________billion.",10000,4000,1400,10400,C
multiple_choice,22,"Nếu tỷ lệ dự trữ yêu cầu là 10 phần trăm, tiền tệ lưu thông là 400 tỷ đô la, tiền gửi có thể kiểm tra là 1.000 tỷ đô la, và tổng dự trữ dư thừa là 1 tỷ đô la, thì M1moneymultiplieris",2.5.,2.8.,2.0.,0.7.,B
multiple_choice,23,"Nếu tỷ lệ dự trữ yêu cầu là 10 phần trăm, lưu thông tiền tệ là 400 tỷ đô la, tiền gửi có thể kiểm tra là 1.000 tỷ đô la, và dự trữ vượt quá tổng cộng 1 tỷ đô la, thì tỷ lệ tiền tệ-tiền gửi là",0.25.,0.50.,0.40.,0.05.,C
multiple_choice,25,"Nếu tỷ lệ dự trữ yêu cầu là 10 phần trăm, lưu thông tiền tệ là 400 tỷ đô la, tiền gửi có thể kiểm tra là 1.000 tỷ đô la, và dự trữ dư thừa tổng cộng 1 tỷ đô la, thì cơ sở tiền tệ là",400 tỷ đô la.,401 tỷ USD.,500 tỷ đô la.,501 tỷ USD.,D
multiple_choice,26,"Nếu tỷ lệ dự trữ yêu cầu là 15 phần trăm, lưu thông tiền tệ là 400 tỷ đô la, tiền gửi có thể kiểm tra là 1.000 tỷ đô la, và dự trữ dư thừa tổng cộng 1 tỷ đô la, thì M1moneymultiplieris",2.54.,2.67.,2.35.,0.551.,A
multiple_choice,27,"Nếu tỷ lệ dự trữ yêu cầu là một phần ba, tiền tệlưu thông là 300 tỷ đô la và tiền gửi có thể kiểm tra là 900 tỷ đô la, thì cung tiền là ________billion.",2700,3000,1200,1800,C
multiple_choice,29,"Nếu tỷ lệ dự trữ yêu cầu là một phần ba, lưu thông tiền tệ là 300 tỷ đô la và tiền gửi có thể kiểm tra là 900 tỷ đô la, thì tỷ lệ tiền tệ-tiền gửi là",0.25.,0.33.,0.67.,0.375.,B
multiple_choice,30,"Nếu tỷ lệ dự trữ bắt buộc là một phần ba, tiền tệlưu thông là 300 tỷ đô la, tiền gửi có thể kiểm tra là 900 tỷ đô la, và không có dự trữ dư thừa, thì cơ sở tiền tệ là",300 tỷ đô la.,600 tỷ đô la.,333 tỷ đô la.,667 tỷ đô la.,B
multiple_choice,31,"Mọi thứ khác được giữ không đổi, tăng tỷ lệ dự trữ yêu cầu trên các khoản tiền gửi có thể kiểm tra sẽ gây ra",cung tiền tăng.,cung tiền không đổi.,cung tiền đến sự sụp đổ.,tiền gửi có thể kiểm tra sẽ phát sinh.,C
multiple_choice,33,"Mọi thứ khác được giữ không đổi, tăng tỷ lệ dự trữ bắt buộc trên các khoản tiền gửi có thể kiểm tra gây ra M1moneymultiplierto________andthe moneysupplyto________.",giảm; tăng,tăng; tăng,giảm; giảm,tăng; giảm,C
multiple_choice,34,"Mọi thứ khác được giữ không đổi, sự giảm tỷ lệ dự trữ bắt buộc trên các khoản tiền gửi có thể kiểm tra gây ra M1moneymultiplierto________andthe moneysupplyto________.",giảm; tăng,tăng; tăng,giảm; giảm,tăng; giảm,B
multiple_choice,35,"Giả sử ban đầu rằng tỷ lệ dự trữ yêu cầu = 10%, tỷ lệ tiền tệ-tiền gửi = 40% và tỷ lệ dự trữ vượt mức = 0, tăng tỷ lệ dự trữ yêu cầu đến 15% gây ra moneymultiplierto________ M1, mọi thứ khác không đổi.",Tăng từ 2.55 lên 2.8,Giảm từ 2.8 xuống 2.55,Tăng từ 1.82 lên 2,giảm từ 2 đến 1.82,B
